h3_cell,hour,day_of_week,is_weekend,is_peak_hour,total_violations,aggregated_severity,mean_latitude,mean_longitude,is_hotspot
8860144a2dfffff,6,2,0,0,4,8.0,13.07107965,77.443322975,0
8860144b4dfffff,5,2,0,0,19,38.0,13.085203484210528,77.48646901578948,1
8860144b5bfffff,2,4,0,0,1,2.0,13.0686134,77.4479003,0
8860144b5bfffff,3,1,0,0,1,2.0,13.0684921,77.4491596,0
8860144b5bfffff,3,4,0,0,1,2.0,13.0697662,77.4472311,0
8860144b5bfffff,5,3,0,0,1,2.0,13.0689911,77.4470207,0
8860144b5bfffff,6,2,0,0,3,6.0,13.0689449,77.4471014,0
8860144b5bfffff,11,3,0,1,2,4.0,13.067685749999999,77.44942284999999,0
8860145109fffff,9,6,1,1,1,2.0,12.8778133,77.517105,0
8860145121fffff,7,6,1,0,2,12.0,12.913027450000001,77.5138341,0
8860145121fffff,12,1,0,1,1,2.0,12.9095939,77.513464,0
8860145123fffff,11,6,1,1,1,2.0,12.909474,77.5130762,0
8860145123fffff,12,1,0,1,4,8.0,12.909758075,77.51339225,0
8860145125fffff,10,3,0,1,4,13.0,12.916525925,77.520584925,0
8860145125fffff,11,6,1,1,1,2.0,12.9171967,77.5206017,0
8860145125fffff,12,1,0,1,1,2.0,12.9157831,77.5205878,0
8860145125fffff,13,1,0,0,3,6.0,12.916691066666667,77.52058966666668,0
8860145129fffff,11,5,1,1,1,2.0,12.9026833,77.5190814,0
886014512bfffff,2,3,0,0,2,4.0,12.904188600000001,77.5124744,0
886014512bfffff,10,2,0,1,1,2.0,12.9039264,77.5108473,0
886014512bfffff,12,2,0,1,1,2.0,12.9043085,77.5123713,0
8860145141fffff,4,0,0,0,1,6.0,12.8760097,77.5308781,0
8860145141fffff,14,6,1,0,1,2.0,12.8762617,77.5292786,0
8860145149fffff,2,2,0,0,1,6.0,12.8663776,77.5347622,0
8860145149fffff,2,4,0,0,2,4.0,12.86648305,77.535262,0
8860145149fffff,3,2,0,0,1,2.0,12.8644912,77.5331024,0
8860145149fffff,4,0,0,0,1,6.0,12.8663444,77.5345234,0
8860145149fffff,4,6,1,0,3,10.0,12.867057166666667,77.5352686,0
8860145149fffff,7,5,1,0,1,2.0,12.8673143,77.5351722,0
8860145149fffff,10,5,1,1,1,6.0,12.8669895,77.5347235,0
8860145149fffff,11,2,0,1,1,6.0,12.8689637,77.5366384,0
8860145149fffff,11,4,0,1,1,6.0,12.868773,77.5362858,0
8860145149fffff,11,6,1,1,1,6.0,12.8663196,77.5354004,0
8860145149fffff,12,4,0,1,1,2.0,12.8688071,77.5364483,0
8860145149fffff,12,6,1,1,2,4.0,12.8677272,77.5354354,0
8860145149fffff,13,2,0,0,1,2.0,12.8666268,77.5344006,0
886014514dfffff,2,3,0,0,1,2.0,12.8707491,77.5380657,0
886014514dfffff,3,0,0,0,1,6.0,12.8737542,77.5406638,0
886014514dfffff,3,3,0,0,1,2.0,12.8756236,77.5423258,0
886014514dfffff,4,0,0,0,1,2.0,12.8740114,77.5405301,0
886014514dfffff,4,3,0,0,1,2.0,12.874256,77.5409268,0
886014514dfffff,5,3,0,0,1,2.0,12.8743001,77.540792,0
886014514dfffff,5,6,1,0,3,18.0,12.872243966666666,77.53916496666666,0
886014514dfffff,6,3,0,0,4,8.0,12.872227975,77.5394864,0
886014514dfffff,6,4,0,0,3,6.0,12.872518433333333,77.53955486666666,0
886014514dfffff,6,6,1,0,2,4.0,12.87105885,77.53841705,0
886014514dfffff,7,0,0,0,2,4.0,12.874228800000001,77.54098379999999,0
886014514dfffff,8,0,0,1,5,10.0,12.873353739999999,77.5401586,0
886014514dfffff,8,6,1,1,1,2.0,12.8729008,77.5397032,0
886014514dfffff,10,1,0,1,2,4.0,12.8723531,77.53917630000001,0
886014514dfffff,10,5,1,1,4,8.0,12.872195925,77.5392916,0
886014514dfffff,10,6,1,1,3,10.0,12.8696595,77.53717819999999,0
886014514dfffff,11,2,0,1,7,14.0,12.870573242857144,77.53783922857143,0
886014514dfffff,11,3,0,1,1,6.0,12.8745583,77.5381248,0
886014514dfffff,11,4,0,1,3,6.0,12.8717398,77.5391756,0
886014514dfffff,11,5,1,1,1,11.0,12.8697182,77.5371573,0
886014514dfffff,11,6,1,1,6,16.0,12.871611583333333,77.53860955,0
886014514dfffff,12,1,0,1,1,2.0,12.873682,77.5405399,0
886014514dfffff,12,3,0,1,1,6.0,12.8739886,77.5405284,0
886014514dfffff,12,6,1,1,1,2.0,12.8740533,77.54077,0
886014514dfffff,13,1,0,0,1,2.0,12.8743419,77.5403087,0
886014514dfffff,14,5,1,0,1,6.0,12.8742859,77.5399886,0
8860145165fffff,3,5,1,0,1,2.0,12.9057935,77.5428265,0
8860145165fffff,4,2,0,0,2,4.0,12.9058688,77.5420037,0
8860145165fffff,4,5,1,0,1,2.0,12.9057975,77.5426133,0
8860145165fffff,5,6,1,0,1,2.0,12.9058015,77.5424165,0
8860145165fffff,6,6,1,0,1,2.0,12.9059844,77.5423995,0
8860145165fffff,7,6,1,0,1,2.0,12.9059095,77.5422953,0
8860145165fffff,9,4,0,1,1,2.0,12.9056251,77.5426207,0
8860145165fffff,9,6,1,1,1,2.0,12.9065049,77.5418672,0
8860145165fffff,10,1,0,1,1,2.0,12.9058444,77.5427697,0
8860145165fffff,11,2,0,1,3,6.0,12.905770033333333,77.54266319999999,0
8860145165fffff,11,3,0,1,1,6.0,12.9084427,77.5382042,0
8860145165fffff,11,4,0,1,2,4.0,12.905864999999999,77.542474,0
8860145165fffff,12,2,0,1,3,6.0,12.905975266666667,77.5423231,0
8860145165fffff,12,3,0,1,3,6.0,12.905899066666668,77.54238526666667,0
8860145165fffff,12,4,0,1,2,4.0,12.9057674,77.5426563,0
8860145165fffff,12,6,1,1,1,2.0,12.9056509,77.5427774,0
8860145165fffff,13,2,0,0,2,4.0,12.9057626,77.54269865,0
8860145165fffff,13,3,0,0,8,16.0,12.90623615,77.541743075,0
8860145165fffff,13,4,0,0,3,6.0,12.905829133333334,77.542544,0
8860145165fffff,13,5,1,0,1,2.0,12.9057854,77.5426383,0
8860145165fffff,14,2,0,0,1,2.0,12.9058015,77.5426716,0
8860145165fffff,16,6,1,1,1,10.0,12.9077195,77.5390388,0
8860145167fffff,4,2,0,0,1,6.0,12.90713761335805,77.53311215,0
8860145167fffff,5,2,0,0,1,6.0,12.906716107843744,77.53324307698296,0
8860145167fffff,7,4,0,0,2,8.0,12.905087438425625,77.53276868818239,0
8860145169fffff,15,2,0,0,1,2.0,12.8931845,77.537668,0
88601451e5fffff,4,3,0,0,2,16.0,12.90589455,77.47567065000001,0
8860145335fffff,2,3,0,0,2,4.0,12.8622366,77.52976705,0
8860145335fffff,2,4,0,0,2,4.0,12.8609363,77.5295911,0
8860145335fffff,2,6,1,0,1,2.0,12.8608399,77.5293315,0
8860145335fffff,3,1,0,0,2,4.0,12.861020499999999,77.52951544999999,0
8860145335fffff,3,2,0,0,6,12.0,12.862508066666665,77.53017058333334,0
8860145335fffff,3,3,0,0,2,4.0,12.862251650000001,77.52990514999999,0
8860145335fffff,4,1,0,0,2,4.0,12.861775699999999,77.5298303,0
8860145335fffff,4,3,0,0,1,2.0,12.8607988,77.5292837,0
8860145335fffff,6,6,1,0,1,2.0,12.8625094,77.5301943,0
8860145335fffff,10,1,0,1,2,4.0,12.8626737,77.53044105000001,0
8860145335fffff,11,2,0,1,4,8.0,12.862655175,77.53012545,0
8860145335fffff,11,3,0,1,3,6.0,12.862301733333334,77.53000743333334,0
8860145335fffff,11,5,1,1,2,4.0,12.86137205,77.52953414999999,0
8860145335fffff,11,6,1,1,7,22.0,12.861820757142857,77.53001178571428,1
8860145335fffff,12,1,0,1,2,8.0,12.86079295,77.52938069999999,0
8860145335fffff,12,6,1,1,3,6.0,12.8621622,77.53042046666667,0
8860145803fffff,2,1,0,0,1,2.0,12.9902424,77.5043384,0
8860145803fffff,2,5,1,0,3,6.0,12.9902194,77.50476253333333,0
8860145803fffff,3,0,0,0,1,2.0,12.990275,77.5039485,0
8860145803fffff,3,2,0,0,1,2.0,12.989728,77.5055045,0
8860145803fffff,3,5,1,0,1,2.0,12.9904685,77.5042978,0
8860145803fffff,4,3,0,0,3,6.0,12.989912466666667,77.5053514,0
8860145803fffff,4,5,1,0,1,2.0,12.9927548,77.5080938,0
8860145803fffff,5,0,0,0,1,2.0,12.9895775,77.5077669,0
8860145803fffff,5,1,0,0,1,6.0,12.9901817,77.5048227,0
8860145803fffff,5,6,1,0,1,2.0,12.9901503,77.5040444,0
8860145803fffff,6,6,1,0,1,6.0,12.989714,77.5079879,0
8860145803fffff,8,6,1,1,1,2.0,12.9902156,77.5048735,0
8860145803fffff,10,2,0,1,1,4.0,12.9907861,77.5040872,0
8860145803fffff,10,4,0,1,1,2.0,12.9900928,77.5045928,0
